ID,본문,소제목,제목,저자,annotator01,annotator02,annotator03,annotator04
4500,길 걷기 시름이여.,,낭인의 봄,김소월,"힘듦/지침, 서러움, 지긋지긋, 불안/걱정, 불평/불만, 부담/안_내킴","귀찮음, 힘듦/지침, 불평/불만, 재미없음, 서러움, 슬픔, 안타까움/실망, 부담/안_내킴","재미없음, 지긋지긋, 힘듦/지침","슬픔, 힘듦/지침"
4501,"잎 누른 시닥나무,",,낭인의 봄,김소월,"신기함/관심, 없음","신기함/관심, 불안/걱정, 불쌍함/연민","불쌍함/연민, 안타까움/실망","감동/감탄, 기쁨, 아껴주는, 즐거움/신남, 흐뭇함(귀여움/예쁨)"
4502,"철 이른 푸른 버들,",,낭인의 봄,김소월,"흐뭇함(귀여움/예쁨), 신기함/관심","흐뭇함(귀여움/예쁨), 불쌍함/연민, 고마움, 기쁨, 놀람, 당황/난처, 아껴주는, 슬픔, 환영/호의, 신기함/관심","감동/감탄, 기대감, 신기함/관심","감동/감탄, 기쁨, 즐거움/신남, 편안/쾌적, 행복, 환영/호의"
4503,해 벌서 석양인데,,낭인의 봄,김소월,"신기함/관심, 기대감, 안타까움/실망, 흐뭇함(귀여움/예쁨), 깨달음","안타까움/실망, 당황/난처, 부담/안_내킴, 불안/걱정, 불평/불만, 서러움","부담/안_내킴, 불안/걱정, 슬픔, 서러움, 지긋지긋, 힘듦/지침","감동/감탄, 기대감, 기쁨, 행복, 환영/호의"
4504,불슷는 바람이여.,,낭인의 봄,김소월,"감동/감탄, 아껴주는, 깨달음, 비장함, 환영/호의","편안/쾌적, 기대감, 서러움, 슬픔, 불안/걱정, 고마움","기대감, 놀람, 신기함/관심","감동/감탄, 비장함"
4505,골짜기 이는 연기,,낭인의 봄,김소월,"신기함/관심, 기대감","신기함/관심, 없음","신기함/관심, 불쌍함/연민","감동/감탄, 당황/난처, 즐거움/신남, 편안/쾌적, 행복"
4506,"뫼 틈에 잠기는데,",,낭인의 봄,김소월,"편안/쾌적, 깨달음, 비장함, 힘듦/지침, 감동/감탄, 서러움, 슬픔","불안/걱정, 신기함/관심, 안타까움/실망, 편안/쾌적",신기함/관심,"슬픔, 힘듦/지침, 편안/쾌적"
4507,산마루 도는 손의,,낭인의 봄,김소월,"신기함/관심, 깨달음, 고마움, 불안/걱정","공포/무서움, 감동/감탄, 놀람, 신기함/관심","기대감, 기쁨","기쁨, 기대감, 즐거움/신남, 환영/호의"
4508,슬지는 그림자여.,,낭인의 봄,김소월,"불안/걱정, 안타까움/실망, 서러움","불안/걱정, 공포/무서움, 부담/안_내킴, 안타까움/실망","불쌍함/연민, 안타까움/실망","슬픔, 힘듦/지침"
4509,"산길가의 외론 주막,",,낭인의 봄,김소월,"슬픔, 서러움","불쌍함/연민, 슬픔, 서러움, 신기함/관심","부담/안_내킴, 불쌍함/연민, 서러움, 안타까움/실망","슬픔, 편안/쾌적"
4510,에이그 쓸쓸한데.,,낭인의 봄,김소월,"안타까움/실망, 슬픔, 서러움, 지긋지긋, 짜증, 부담/안_내킴","부담/안_내킴, 불평/불만, 안타까움/실망, 재미없음, 서러움","부담/안_내킴, 불쌍함/연민, 서러움, 안타까움/실망","부담/안_내킴, 슬픔, 서러움, 힘듦/지침"
4511,먼저 든 짐장사의,,낭인의 봄,김소월,"불쌍함/연민, 고마움, 신기함/관심",불쌍함/연민,"불쌍함/연민, 안타까움/실망, 힘듦/지침","기대감, 깨달음"
4512,곤(困)한 말 한 소리여.,,낭인의 봄,김소월,"힘듦/지침, 불쌍함/연민","힘듦/지침, 불쌍함/연민",감동/감탄,"불쌍함/연민, 슬픔, 힘듦/지침"
4513,"지는 해 그림지니,",,낭인의 봄,김소월,"안타까움/실망, 신기함/관심, 슬픔, 서러움","서러움, 안타까움/실망, 불쌍함/연민, 당황/난처","부담/안_내킴, 불쌍함/연민, 안타까움/실망","불쌍함/연민, 슬픔, 안타까움/실망"
4514,"오늘은 어데까지,",,낭인의 봄,김소월,"즐거움/신남, 기대감","기대감, 귀찮음, 신기함/관심, 불평/불만, 부담/안_내킴, 힘듦/지침","귀찮음, 부담/안_내킴, 불안/걱정, 불평/불만, 힘듦/지침","기대감, 신기함/관심, 환영/호의"
4515,"어둔 뒤 아무데나,",,낭인의 봄,김소월,"편안/쾌적, 안심/신뢰, 환영/호의","의심/불신, 불안/걱정, 귀찮음","부담/안_내킴, 안타까움/실망","불안/걱정, 절망, 힘듦/지침"
4516,가다가 묵을레라.,,낭인의 봄,김소월,"기대감, 신기함/관심, 기쁨, 행복, 환영/호의, 뿌듯함, 흐뭇함(귀여움/예쁨)","기대감, 불안/걱정, 의심/불신, 힘듦/지침","힘듦/지침, 편안/쾌적","슬픔, 부담/안_내킴, 힘듦/지침"
4517,"풀숲에 물김 뜨고,",,낭인의 봄,김소월,"신기함/관심, 흐뭇함(귀여움/예쁨)","신기함/관심, 기대감, 슬픔, 서러움",신기함/관심,"감동/감탄, 기쁨, 즐거움/신남, 행복"
4518,"달빛에 새 놀래는,",,낭인의 봄,김소월,"감동/감탄, 기대감, 놀람, 당황/난처","흐뭇함(귀여움/예쁨), 불쌍함/연민, 한심함","놀람, 신기함/관심, 불쌍함/연민","감동/감탄, 기쁨, 행복, 흐뭇함(귀여움/예쁨)"
4519,고운 밤 야반(夜半)에도,,낭인의 봄,김소월,"편안/쾌적, 흐뭇함(귀여움/예쁨)","기대감, 행복, 편안/쾌적","기대감, 신기함/관심","슬픔, 힘듦/지침"
4520,내 사람 생각이여.,,낭인의 봄,김소월,"아껴주는, 신기함/관심","아껴주는, 흐뭇함(귀여움/예쁨), 안심/신뢰, 불안/걱정, 서러움","깨달음, 비장함","기대감, 기쁨, 감동/감탄, 아껴주는, 안심/신뢰, 행복, 흐뭇함(귀여움/예쁨)"
4521,"눈물이 수르르 흘러납니다,",,눈물이 쉬루르 흘러납니다,김소월,"슬픔, 서러움, 안타까움/실망","서러움, 슬픔, 불쌍함/연민, 불안/걱정, 안타까움/실망","불안/걱정, 서러움, 슬픔, 안타까움/실망","슬픔, 패배/자기혐오, 힘듦/지침"
4522,당신이 하도 못 잊게 그리워서,,눈물이 쉬루르 흘러납니다,김소월,"슬픔, 서러움, 안타까움/실망, 아껴주는, 기대감, 불안/걱정, 지긋지긋, 화남/분노, 힘듦/지침","아껴주는, 불안/걱정, 서러움, 슬픔, 안타까움/실망","불쌍함/연민, 서러움, 아껴주는, 안타까움/실망","서러움, 슬픔, 아껴주는, 절망"
4523,그리 눈물이 수르르 흘러납니다.,,눈물이 쉬루르 흘러납니다,김소월,"슬픔, 흐뭇함(귀여움/예쁨), 깨달음, 감동/감탄","서러움, 슬픔, 감동/감탄","부담/안_내킴, 불쌍함/연민, 서러움, 슬픔, 안타까움/실망","불안/걱정, 서러움, 슬픔, 힘듦/지침"
4524,잊히지도 않는 그 사람은,,눈물이 쉬루르 흘러납니다,김소월,"서러움, 지긋지긋, 아껴주는, 힘듦/지침, 당황/난처, 불안/걱정, 불평/불만, 비장함, 안타까움/실망","아껴주는, 안타까움/실망, 서러움, 슬픔","불쌍함/연민, 서러움, 기대감, 안타까움/실망","당황/난처, 아껴주는, 불안/걱정, 서러움, 슬픔, 힘듦/지침"
4525,"아주나 내버린 것이 아닌데도,",,눈물이 쉬루르 흘러납니다,김소월,"불안/걱정, 당황/난처, 부담/안_내킴","불쌍함/연민, 신기함/관심, 아껴주는, 기대감, 안타까움/실망","불쌍함/연민, 안타까움/실망","불평/불만, 슬픔, 증오/혐오, 힘듦/지침"
4526,눈물이 수르르 흘러납니다.,,눈물이 쉬루르 흘러납니다,김소월,"슬픔, 감동/감탄, 서러움, 깨달음, 고마움, 기쁨","슬픔, 서러움, 감동/감탄, 힘듦/지침","부담/안_내킴, 불쌍함/연민, 서러움, 슬픔, 안타까움/실망","절망, 힘듦/지침, 서러움, 슬픔"
4527,가뜩이나 설운 맘이,,눈물이 쉬루르 흘러납니다,김소월,"서러움, 힘듦/지침, 지긋지긋, 안타까움/실망, 경악, 부담/안_내킴, 불안/걱정, 당황/난처, 불평/불만, 비장함","서러움, 슬픔, 힘듦/지침, 화남/분노, 짜증, 안타까움/실망","부담/안_내킴, 불쌍함/연민, 서러움, 안타까움/실망","놀람, 불안/걱정, 서러움, 슬픔"
4528,떠나지 못할 운(運)에 떠난 것도 같아서,,눈물이 쉬루르 흘러납니다,김소월,"안타까움/실망, 불안/걱정, 슬픔, 당황/난처","불안/걱정, 서러움, 슬픔, 안타까움/실망, 죄책감","안타까움/실망, 불안/걱정","슬픔, 서러움, 힘듦/지침"
4529,생각하면 눈물이 쉬루르 흘러납니다.,,눈물이 쉬루르 흘러납니다,김소월,"슬픔, 서러움, 안타까움/실망, 힘듦/지침","슬픔, 안타까움/실망, 서러움, 힘듦/지침","슬픔, 서러움, 불쌍함/연민, 부담/안_내킴, 안타까움/실망","깨달음, 당황/난처, 서러움, 슬픔, 힘듦/지침"
4530,얼골이면 거울에 비추어도 보지만,,돈과 밥과 밤과 돌,김소월,"안타까움/실망, 슬픔, 서러움, 부담/안_내킴","당황/난처, 불평/불만, 서러움, 안타까움/실망, 패배/자기혐오","당황/난처, 안타까움/실망","힘듦/지침, 슬픔"
4531,하로에도 몇 번씩 비추어도 보지만,,돈과 밥과 밤과 돌,김소월,"안타까움/실망, 불안/걱정, 당황/난처, 지긋지긋, 힘듦/지침","기대감, 불안/걱정, 서러움, 안타까움/실망","불안/걱정, 신기함/관심, 의심/불신","당황/난처, 불쌍함/연민, 불평/불만, 불안/걱정, 슬픔, 힘듦/지침"
4532,어쩌랴,,돈과 밥과 밤과 돌,김소월,"안타까움/실망, 당황/난처, 부담/안_내킴, 지긋지긋, 서러움, 의심/불신, 불평/불만","불쌍함/연민, 안타까움/실망, 귀찮음, 당황/난처, 서러움, 패배/자기혐오","당황/난처, 부담/안_내킴, 안타까움/실망","슬픔, 재미없음, 절망, 힘듦/지침"
4533,그대여,,돈과 밥과 밤과 돌,김소월,"아껴주는, 환영/호의, 신기함/관심, 존경","존경, 아껴주는, 환영/호의, 흐뭇함(귀여움/예쁨)","기대감, 환영/호의",비장함
4534,우리들의 뜻 같은,,돈과 밥과 밤과 돌,김소월,"아껴주는, 환영/호의","고마움, 기쁨, 뿌듯함, 신기함/관심, 아껴주는","아껴주는, 안심/신뢰","기대감, 비장함"
4535,백을 산들 한번을 비출 곳이 있으랴.,,돈과 밥과 밤과 돌,김소월,"불안/걱정, 의심/불신, 서러움","의심/불신, 불안/걱정, 불평/불만, 서러움, 지긋지긋, 힘듦/지침","부담/안_내킴, 불평/불만, 안타까움/실망","슬픔, 안타까움/실망, 절망"
4536,밥먹다 죽었으면 그만일 것을 가지고,,돈과 밥과 밤과 돌,김소월,"한심함, 안타까움/실망, 우쭐댐/무시함, 짜증","한심함, 귀찮음, 부담/안_내킴, 증오/혐오, 지긋지긋, 짜증","부담/안_내킴, 안타까움/실망, 증오/혐오","슬픔, 안타까움/실망, 절망, 힘듦/지침, 패배/자기혐오"
4537,잠자다 죽었으면 그만일 것을 가지고,,돈과 밥과 밤과 돌,김소월,"불평/불만, 불쌍함/연민, 당황/난처, 우쭐댐/무시함, 한심함, 힘듦/지침, 절망, 비장함","귀찮음, 지긋지긋, 짜증, 한심함, 부담/안_내킴",안타까움/실망,"불평/불만, 비장함, 안타까움/실망, 슬픔"
4538,서로가락,,돈과 밥과 밤과 돌,김소월,아껴주는,아껴주는,없음,"기쁨, 아껴주는, 안심/신뢰, 편안/쾌적"
4539,그렇지 어쩌면,,돈과 밥과 밤과 돌,김소월,"의심/불신, 기대감, 불안/걱정","기대감, 감동/감탄, 불안/걱정, 의심/불신, 신기함/관심, 즐거움/신남","기대감, 의심/불신",힘듦/지침
4540,우리는 쭉하면 제 몸만을 내세우랴 하느냐,,돈과 밥과 밤과 돌,김소월,"불평/불만, 의심/불신, 당황/난처, 깨달음, 기대감, 불쌍함/연민","부끄러움, 서러움, 슬픔, 안타까움/실망, 한심함, 패배/자기혐오, 죄책감","깨달음, 부담/안_내킴, 부끄러움, 불안/걱정, 지긋지긋, 증오/혐오","부끄러움, 불평/불만, 안타까움/실망, 한심함"
4541,호미 잡고 들에 나려서 곡식이나 기르자.,,돈과 밥과 밤과 돌,김소월,"깨달음, 안타까움/실망, 부담/안_내킴, 지긋지긋, 우쭐댐/무시함, 한심함, 패배/자기혐오, 뿌듯함","한심함, 행복, 힘듦/지침, 귀찮음, 불쌍함/연민, 불안/걱정, 서러움, 짜증","기대감, 기쁨, 뿌듯함, 즐거움/신남","비장함, 편안/쾌적"
4542,순직한 사람은 죽어 하늘 나라에 가고,,돈과 밥과 밤과 돌,김소월,"안타까움/실망, 불안/걱정, 불쌍함/연민, 슬픔, 존경","서러움, 슬픔, 아껴주는, 안타까움/실망, 불쌍함/연민, 존경","기대감, 비장함, 뿌듯함, 안타까움/실망","불쌍함/연민, 안타까움/실망, 슬픔, 힘듦/지침"
4543,모질던 사람은 죽어 지옥 간다고 하여라,,돈과 밥과 밤과 돌,김소월,"서러움, 죄책감, 불안/걱정, 안심/신뢰, 화남/분노","서러움, 화남/분노, 증오/혐오","안타까움/실망, 의심/불신, 증오/혐오","비장함, 화남/분노, 증오/혐오"
4544,우리네 사람들아 그뿐 알아둘진댄,,돈과 밥과 밤과 돌,김소월,"아껴주는, 불쌍함/연민, 불안/걱정","불쌍함/연민, 불안/걱정, 아껴주는",재미없음,"편안/쾌적, 재미없음, 힘듦/지침"
4545,아무런 괴로움도 다시 없이 살 것을,,돈과 밥과 밤과 돌,김소월,"서러움, 기대감, 비장함, 불안/걱정, 힘듦/지침","기대감, 힘듦/지침, 서러움, 슬픔, 지긋지긋, 환영/호의","불쌍함/연민, 안타까움/실망","의심/불신, 절망, 패배/자기혐오"
4546,머리 수그리고 앉았던 그대는,,돈과 밥과 밤과 돌,김소월,"아껴주는, 불쌍함/연민, 신기함/관심","아껴주는, 신기함/관심, 불쌍함/연민","당황/난처, 부담/안_내킴, 불쌍함/연민, 안타까움/실망, 한심함","불쌍함/연민, 불안/걱정, 안타까움/실망, 슬픔"
4547,다시 `돈 ! '하며 건너 산(山)을 건너다보게 되누나.,,돈과 밥과 밤과 돌,김소월,"깨달음, 안타까움/실망, 서러움, 불안/걱정, 불평/불만, 힘듦/지침, 지긋지긋, 한심함","깨달음, 불쌍함/연민, 안타까움/실망, 불평/불만, 서러움, 부끄러움, 한심함","힘듦/지침, 깨달음, 부담/안_내킴, 부끄러움, 불평/불만, 안타까움/실망, 지긋지긋","경악, 불안/걱정, 불평/불만, 안타까움/실망, 한심함"
4548,등잔불 그므러지고 닭소래는 잦은데,,돈과 밥과 밤과 돌,김소월,"당황/난처, 불안/걱정, 서러움, 안타까움/실망, 힘듦/지침","부담/안_내킴, 불안/걱정, 서러움, 지긋지긋","불안/걱정, 부담/안_내킴","불안/걱정, 힘듦/지침, 당황/난처"
4549,여태 자지 않고 있더냐 담짐도 하지,,돈과 밥과 밤과 돌,김소월,"놀람, 불쌍함/연민, 감동/감탄, 안심/신뢰, 아껴주는","놀람, 감동/감탄, 신기함/관심, 아껴주는","불안/걱정, 안타까움/실망","불쌍함/연민, 불안/걱정, 슬픔, 안타까움/실망"
4550,그대 요밤 새면 내일날이 또 있지 않우.,,돈과 밥과 밤과 돌,김소월,"기대감, 아껴주는, 불쌍함/연민, 환영/호의","기대감, 아껴주는, 안심/신뢰, 환영/호의",기대감,"아껴주는, 비장함, 기대감"
4551,사람아 나더러 말썽을 마소,,돈과 밥과 밤과 돌,김소월,"부담/안_내킴, 불평/불만, 의심/불신, 안타까움/실망","지긋지긋, 짜증, 귀찮음, 한심함, 재미없음, 어이없음, 불평/불만, 부담/안_내킴","귀찮음, 깨달음, 당황/난처, 부담/안_내킴, 불안/걱정, 불평/불만, 비장함, 슬픔, 서러움","부담/안_내킴, 불평/불만, 안타까움/실망"
4552,거슬러 예는 물을 거스른다고,,돈과 밥과 밤과 돌,김소월,"깨달음, 신기함/관심, 비장함, 놀람, 당황/난처","감동/감탄, 기대감, 놀람, 경악, 불안/걱정, 서러움, 신기함/관심, 안심/신뢰, 존경","당황/난처, 부담/안_내킴, 불안/걱정","부담/안_내킴, 불안/걱정, 불평/불만, 의심/불신, 증오/혐오"
4553,말하는 사람부터 어리석겠소.,,돈과 밥과 밤과 돌,김소월,"의심/불신, 한심함, 당황/난처","한심함, 의심/불신, 귀찮음, 지긋지긋","불평/불만, 우쭐댐/무시함, 의심/불신","부담/안_내킴, 불안/걱정, 불평/불만, 의심/불신, 안타까움/실망, 한심함"
4554,가노라 가노라 나는 가노라,,돈과 밥과 밤과 돌,김소월,"서러움, 슬픔, 안타까움/실망, 당황/난처","서러움, 슬픔, 즐거움/신남, 부담/안_내킴, 짜증, 패배/자기혐오, 한심함","안타까움/실망, 지긋지긋, 힘듦/지침","비장함, 슬픔, 서러움, 힘듦/지침"
4555,내 성품 끄는대로 나느 가노라,,돈과 밥과 밤과 돌,김소월,"비장함, 깨달음, 환영/호의","기대감, 불안/걱정, 비장함, 뿌듯함, 즐거움/신남","부담/안_내킴, 우쭐댐/무시함","비장함, 힘듦/지침, 재미없음"
